Test Case ID,Category,Test Case Name,Priority,Preconditions,Steps,Expected Result
TC-001,Partner Auth,Partner login with valid credentials,Critical,"Partner user exists in DB (e.g. partner@appsumo.com / partner123)","1. Navigate to /partner/login
2. Enter email: partner@appsumo.com
3. Enter password: partner123
4. Click Login","User is redirected to /partner/dashboard. Session is created. Dashboard shows partner stats (generated, consumed, redeemed, available counts)."
TC-002,Partner Auth,Partner login with invalid password,Critical,"Partner user exists in DB","1. Navigate to /partner/login
2. Enter email: partner@appsumo.com
3. Enter password: wrongpassword
4. Click Login","Login fails with 'Invalid credentials' error message. User stays on login page. No session is created."
TC-003,Partner Auth,Partner login with non-existent email,High,"No user with this email","1. Navigate to /partner/login
2. Enter email: doesnotexist@test.com
3. Enter password: anything
4. Click Login","Login fails with 'Invalid credentials' error message. No session is created."
TC-004,Partner Auth,Partner login with inactive account,High,"Partner user exists but isActive=false","1. Navigate to /partner/login
2. Enter email of inactive user
3. Enter valid password
4. Click Login","Login fails with 'Invalid credentials' error message."
TC-005,Partner Auth,Partner logout,High,"Partner user is logged in","1. While logged in to partner portal
2. Click Logout button","Session is destroyed. User is redirected to /partner/login. Attempting to access /partner/dashboard returns 401."
TC-006,Partner Auth,Partner session persistence,Medium,"Partner user is logged in","1. Login to partner portal
2. Close browser tab
3. Open new tab and navigate to /partner/dashboard","User is still logged in and dashboard loads correctly (session persists via cookie)."
TC-007,Partner Auth,Partner auth guard - unauthenticated access,High,"Not logged in","1. Open incognito/private window
2. Navigate directly to /partner/dashboard","User is redirected to /partner/login or receives 401 unauthorized."
TC-008,Admin Auth,Admin login with valid credentials,Critical,"Admin user exists (e.g. admin@tinycommand.com / admin123)","1. Navigate to /admin/login
2. Enter email: admin@tinycommand.com
3. Enter password: admin123
4. Click Login","User is redirected to /admin/dashboard. Session is created with isAdmin=true."
TC-009,Admin Auth,Admin login - partner user cannot access admin,High,"Non-admin partner user exists (partner@appsumo.com)","1. Navigate to /admin/login
2. Enter email: partner@appsumo.com
3. Enter password: partner123
4. Click Login","Login fails with 'Invalid credentials'. Partner users without isAdmin=true cannot access admin portal."
TC-010,Admin Auth,Admin auth guard - unauthenticated access,High,"Not logged in","1. Open incognito window
2. Navigate directly to /admin/dashboard","User is redirected to /admin/login or receives 401 unauthorized."
TC-011,License Generation,Partner generates Tier 1 licenses,Critical,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 1
3. Enter Quantity: 10
4. Optionally enter Notes: 'Test batch'
5. Click Generate","10 new license keys are created with status 'generated' and tier 1. A new batch record is created. Success message is shown with batch details. Keys appear in /partner/licenses."
TC-012,License Generation,Partner generates Tier 2 licenses,High,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 2
3. Enter Quantity: 5
4. Click Generate","5 new license keys created with tier 2, status 'generated'. Batch record created."
TC-013,License Generation,Partner generates Tier 3 licenses,High,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 3
3. Enter Quantity: 5
4. Click Generate","5 new license keys created with tier 3, status 'generated'. Batch record created."
TC-014,License Generation,Partner generates Tier 4 licenses,High,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 4
3. Enter Quantity: 5
4. Click Generate","5 new license keys created with tier 4, status 'generated'. Batch record created."
TC-015,License Generation,Generate max quantity (10000),Medium,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 1
3. Enter Quantity: 10000
4. Click Generate","10000 keys are created successfully. May take longer but should complete without timeout."
TC-016,License Generation,Generate with invalid quantity (0),Medium,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 1
3. Enter Quantity: 0
4. Click Generate","Validation error: quantity must be at least 1. No keys created."
TC-017,License Generation,Generate with invalid quantity (> 10000),Medium,"Logged in as partner user","1. Navigate to /partner/generate
2. Select Tier: 1
3. Enter Quantity: 10001
4. Click Generate","Validation error: quantity must be at most 10000. No keys created."
TC-018,License Generation,Generate with invalid tier (5),Medium,"Logged in as partner user","1. Navigate to /partner/generate
2. Attempt to select Tier: 5
3. Click Generate","Validation error: tier must be between 1 and 4. No keys created."
TC-019,License Generation,Admin generates licenses for a partner,High,"Logged in as admin. At least one partner exists.","1. Navigate to /admin/generate or /admin/partners/:id
2. Select partner
3. Select Tier: 2
4. Enter Quantity: 10
5. Click Generate","10 keys created for the selected partner with tier 2. Batch record shows generatedByType='admin'. Keys visible in both admin and partner views."
TC-020,License List,View partner licenses list,High,"Logged in as partner. Licenses exist.","1. Navigate to /partner/licenses","All licenses for this partner are displayed in a paginated table showing license key, tier, status, and dates. Default shows 50 per page."
TC-021,License List,Filter licenses by status,High,"Logged in as partner. Licenses with various statuses exist.","1. Navigate to /partner/licenses
2. Select Status filter: 'redeemed'","Only licenses with status 'redeemed' are shown. Count updates to reflect filtered total."
TC-022,License List,Filter licenses by tier,High,"Logged in as partner. Licenses with various tiers exist.","1. Navigate to /partner/licenses
2. Select Tier filter: 2","Only tier 2 licenses are shown."
TC-023,License List,Search licenses by key,Medium,"Logged in as partner. Licenses exist.","1. Navigate to /partner/licenses
2. Enter first 8 characters of a known license key in search box","Only matching licenses are shown (ILIKE search on license key)."
TC-024,License List,Pagination,Medium,"Logged in as partner. More than 50 licenses exist.","1. Navigate to /partner/licenses
2. Scroll to bottom
3. Click next page","Second page of results loads. Different licenses are shown."
TC-025,License Detail,View license detail and event history,High,"Logged in as partner. A license with events exists.","1. Navigate to /partner/licenses
2. Click on a license key","License detail page shows: license key, tier, current status, all timestamps (generated, consumed, redeemed, etc.), Heimdall IDs, redeemer email. Event history shows chronological list of all events."
TC-026,License Export,Export all licenses as CSV,Medium,"Logged in as partner. Licenses exist.","1. Navigate to /partner/licenses
2. Click Export CSV","CSV file downloads containing all partner licenses with columns for key, tier, status, dates."
TC-027,License Export,Export batch as CSV,Medium,"Logged in as partner. A batch exists.","1. Navigate to /partner/licenses or batches view
2. Find a batch
3. Click Export Batch","CSV downloads with only that batch's licenses. Batch is marked as exported with exportedAt timestamp."
TC-028,Partner Dashboard,Dashboard stats accuracy,High,"Logged in as partner. Mix of license statuses exist.","1. Navigate to /partner/dashboard
2. Compare displayed stats with actual DB counts","Stats cards show correct counts: Total Generated (status=generated), Total Consumed, Total Redeemed, Total Available (same as generated), Total Deactivated, Total Upgraded, Total Downgraded. Recent events list shows latest events."
TC-029,Partner Reports,Conversion funnel accuracy,Medium,"Logged in as partner. Licenses in various statuses.","1. Navigate to /partner/reports
2. Review conversion funnel","Funnel shows: Generated (all licenses), Consumed (consumed + redeemed + upgraded + downgraded + deactivated), Redeemed (redeemed + upgraded + downgraded + deactivated). Conversion and redemption rates are calculated correctly as percentages."
